time,mouse_dx,mouse_dy,mouse_scroll
2021-06-11T18:31:22.927,0,0,0
2021-06-11T18:31:22.932,0,0,0
2021-06-11T18:31:22.936,0,0,0
2021-06-11T18:31:22.942,0,0,0
2021-06-11T18:31:22.945,0,0,0
2021-06-11T18:31:22.949,0,0,0
2021-06-11T18:31:22.953,0,0,0
2021-06-11T18:31:22.957,0,0,0
2021-06-11T18:31:22.962,0,0,0
2021-06-11T18:31:22.967,0,0,0
2021-06-11T18:31:22.971,0,0,0
2021-06-11T18:31:22.976,0,0,0
2021-06-11T18:31:22.980,0,0,0
2021-06-11T18:31:22.986,0,0,0
2021-06-11T18:31:22.990,0,0,0
2021-06-11T18:31:22.995,0,0,0
2021-06-11T18:31:22.997,0,0,0
2021-06-11T18:31:23.001,0,0,0
2021-06-11T18:31:23.006,0,0,0
2021-06-11T18:31:23.010,0,0,0
2021-06-11T18:31:23.015,0,0,0
2021-06-11T18:31:23.019,0,0,0
2021-06-11T18:31:23.024,0,0,0
2021-06-11T18:31:23.028,0,0,0
2021-06-11T18:31:23.032,0,0,0
2021-06-11T18:31:23.036,0,0,0
2021-06-11T18:31:23.042,0,0,0
2021-06-11T18:31:23.048,0,0,0
2021-06-11T18:31:23.051,0,0,0
2021-06-11T18:31:23.054,0,0,0
2021-06-11T18:31:23.060,0,0,0
2021-06-11T18:31:23.064,0,0,0
2021-06-11T18:31:23.068,0,0,0
2021-06-11T18:31:23.072,0,0,0
2021-06-11T18:31:23.077,0,0,0
2021-06-11T18:31:23.081,0,0,0
2021-06-11T18:31:23.086,0,0,0
2021-06-11T18:31:23.090,0,0,0
2021-06-11T18:31:23.094,0,0,0
2021-06-11T18:31:23.098,0,0,0
2021-06-11T18:31:23.103,0,0,0
2021-06-11T18:31:23.108,0,0,0
2021-06-11T18:31:23.112,0,0,0
2021-06-11T18:31:23.115,0,0,0
2021-06-11T18:31:23.120,0,0,0
2021-06-11T18:31:23.124,0,0,0
2021-06-11T18:31:23.129,0,0,0
2021-06-11T18:31:23.134,0,0,0
2021-06-11T18:31:23.141,0,0,0
2021-06-11T18:31:23.144,0,0,0
2021-06-11T18:31:23.148,0,0,0
2021-06-11T18:31:23.153,0,0,0
2021-06-11T18:31:23.156,0,0,0
2021-06-11T18:31:23.159,0,0,0
2021-06-11T18:31:23.164,0,0,0
2021-06-11T18:31:23.171,0,0,0
2021-06-11T18:31:23.179,0,0,0
2021-06-11T18:31:23.179,0,0,0
2021-06-11T18:31:23.184,0,0,0
2021-06-11T18:31:23.188,0,0,0
2021-06-11T18:31:23.191,0,0,0
2021-06-11T18:31:23.197,0,0,0
2021-06-11T18:31:23.201,0,0,0
2021-06-11T18:31:23.205,0,0,0
2021-06-11T18:31:23.209,0,0,0
2021-06-11T18:31:23.213,0,0,0
2021-06-11T18:31:23.218,0,0,0
2021-06-11T18:31:23.222,0,0,0
2021-06-11T18:31:23.227,0,0,0
2021-06-11T18:31:23.233,0,0,0
2021-06-11T18:31:23.236,0,0,0
2021-06-11T18:31:23.240,0,0,0
2021-06-11T18:31:23.245,0,0,0
2021-06-11T18:31:23.248,0,0,0
2021-06-11T18:31:23.252,0,0,0
2021-06-11T18:31:23.256,0,0,0
2021-06-11T18:31:23.261,0,0,0
2021-06-11T18:31:23.265,0,0,0
2021-06-11T18:31:23.269,0,0,0
2021-06-11T18:31:23.275,0,0,0
2021-06-11T18:31:23.279,0,0,0
2021-06-11T18:31:23.282,0,0,0
2021-06-11T18:31:23.287,0,0,0
2021-06-11T18:31:23.295,0,0,0
2021-06-11T18:31:23.297,0,0,0
2021-06-11T18:31:23.302,0,0,0
